,mp_x,mp_y,mp_z
167,-12997.054145802578,-4803.743615194204,0.0
74,-10783.325222547453,-4774.404698711304,0.0
81,-9936.215389815654,-4758.809684670968,0.0
26,-9930.709474588435,-4758.697895566269,0.0
121,-9795.917885589399,-4755.914930006678,0.0
50,-9458.272785941877,-4748.534441354545,0.0
161,-8881.498064191628,-4734.41885846338,0.0
106,-8529.515878291739,-4724.738496951752,0.0
45,-8486.20825819399,-4723.48564888163,0.0
101,-8302.586856658227,-4718.013684958645,0.0
3,-8029.309435696743,-4709.363717780103,0.0
38,-7764.813476901922,-4700.367525705664,0.0
21,-7461.198441321807,-4689.209799675701,0.0
137,-7356.574172082147,-4685.143076378867,0.0
33,-7264.228630005256,-4681.453683879769,0.0
13,-6950.19377333395,-4668.163719338426,0.0
16,-6735.525757605891,-4658.368352592726,0.0
165,-5011.388151319002,-4552.044364858019,0.0
104,-4995.517822920593,-4550.7766780620605,0.0
158,-4532.128490164012,-4510.737726402645,0.0
154,-4497.731697721441,-4507.516839560931,0.0
103,-4493.327632209878,-4507.101801788447,0.0
184,-4474.97040893641,-4505.365308519281,0.0
185,-4406.243321895726,-4498.769691703748,0.0
118,-4182.293511142596,-4476.2014083423055,0.0
93,-4035.8665182890336,-4460.503078466825,0.0
28,-3296.69504533016,-4368.090166266025,0.0
49,-3216.2400431634815,-4356.526857569095,0.0
179,-2675.8207196513977,-4269.699410170192,0.0
187,-2609.1903419167415,-4257.7839690490755,0.0
181,-2286.390651532966,-4195.797027271609,0.0
138,-2058.0756219958857,-4147.310384554886,0.0
29,-1952.6021912484546,-4123.489697956841,0.0
80,-1951.3858984361034,-4123.209515620321,0.0
109,-1865.968476632964,-4103.211447655809,0.0
60,-1832.9533501322298,-4095.30912028502,0.0
91,-1636.086117575071,-4046.0966476657063,0.0
32,-1403.8773998468087,-3983.1281953030775,0.0
42,-1029.442328002585,-3868.966721108796,0.0
116,-781.403721332318,-3783.5839643167046,0.0
23,-776.9900778762359,-3781.987169563944,0.0
172,-697.6294537796928,-3752.788477382504,0.0
182,-576.2958505327845,-3706.302203462102,0.0
173,-458.39209483598006,-3658.878047098466,0.0
130,-352.3867360844046,-3614.231610708693,0.0
174,-211.91729388156713,-3551.950055708006,0.0
17,-208.8425803128587,-3550.5452280943637,0.0
97,65.27606826905611,-3417.574073464947,0.0
18,460.9978201847247,-3194.7830955435793,0.0
144,556.1156685700661,-3134.863595107296,0.0
78,598.7709442661139,-3107.08981609014,0.0
75,609.0719157202084,-3100.2957567794274,0.0
146,800.1025682102817,-2967.7814724578334,0.0
27,820.8897036187661,-2952.5706774639966,0.0
69,843.6458177009885,-2935.7294718042544,0.0
105,904.241302187414,-2889.88866612748,0.0
166,1248.26894658209,-2598.2385162067285,0.0
65,1320.0575908848887,-2529.475853892503,0.0
84,1323.77544242614,-2525.8283342550576,0.0
133,1325.7195172700513,-2523.917542701445,0.0
141,1546.037208017597,-2290.1915544423814,0.0
22,1645.8854039882985,-2171.1809558470673,0.0
168,1670.6332556723303,-2140.1791599182347,0.0
95,1674.5062773642628,-2135.2692107389203,0.0
195,1675.846034560333,-2133.567026559369,0.0
188,1679.4803918909986,-2128.939800031177,0.0
6,1709.278643619266,-2090.45397982889,0.0
128,1711.0527509393924,-2088.131199626346,0.0
160,1745.275787356874,-2042.602846983573,0.0
99,1776.727376302197,-1999.496430212578,0.0
191,1777.9553743923054,-1997.787662137129,0.0
149,1781.7338475126455,-1992.517454824062,0.0
1,1800.3877999601748,-1966.219169935296,0.0
131,1846.9569248947212,-1898.4284921696856,0.0
73,1868.9301769208635,-1865.3087926591097,0.0
67,1876.9964141109529,-1852.957044371727,0.0
199,2008.2277794876513,-1635.092863666529,0.0
127,2015.4124083444437,-1622.1060779638588,0.0
150,2064.23078486909,-1530.3178671009946,0.0
36,2085.1508432622463,-1488.9064972569247,0.0
198,2114.0677239997026,-1429.3334023945301,0.0
163,2117.0484952109123,-1423.026981859306,0.0
92,2131.9592822445647,-1390.982590579476,0.0
86,2190.810078872993,-1255.3176687443881,0.0
8,2218.2377063926892,-1186.0871765283703,0.0
46,2222.5774822973776,-1174.7169520332584,0.0
112,2253.5284611789875,-1089.8294356863187,0.0
94,2256.6538063100315,-1080.8515171449299,0.0
111,2257.9683605376295,-1077.050982792394,0.0
107,2278.1001531192132,-1016.9208098690768,0.0
159,2295.6186958818366,-961.2915534157682,0.0
186,2308.6244772077084,-917.6565501151669,0.0
85,2317.786398097,-885.5444340537236,0.0
177,2319.780079687921,-878.3919147612797,0.0
123,2334.440823526784,-823.7817819804807,0.0
52,2354.590217199734,-741.8532893387732,0.0
108,2400.2062182475934,-507.69437779513345,0.0
56,2420.8197482969117,-352.8841025110853,0.0
170,2423.664797922266,-325.7148664029279,0.0
48,2425.424654960203,-307.70055554473873,0.0
197,2435.988853567645,-161.51556126772905,0.0
98,2439.941664111596,-19.482547568420816,0.0
125,2439.9939869793043,6.254973584478389,0.0
113,2436.076993688587,159.73195060818014,0.0
139,2431.6372470104725,233.15629464463316,0.0
54,2430.552356081888,247.8035018108311,0.0
51,2429.9634458496785,255.4014937876267,0.0
63,2425.557578129719,306.2965882840363,0.0
178,2422.1071237976826,340.8606519268006,0.0
134,2380.409062070183,620.5752731474811,0.0
40,2376.4070449537276,640.9286410173116,0.0
72,2363.3765095883305,703.0125864368013,0.0
58,2317.5992196058387,886.2128218112437,0.0
14,2280.8973618828436,1008.2592143684838,0.0
7,2271.057639775504,1038.3838992234607,0.0
5,2248.0455464111,1105.3881087284785,0.0
155,2227.964913791759,1160.430563116073,0.0
68,2172.4493782081217,1299.3701051753183,0.0
4,2065.853062066919,1527.1539992161177,0.0
196,2063.073515353351,1532.5701118317193,0.0
136,2062.3363162279124,1534.0027807352799,0.0
53,2055.7341591152895,1546.7631211834973,0.0
147,2029.345684424796,1596.5545788129514,0.0
24,2023.7355857780428,1606.9017537436703,0.0
143,2018.3063688077375,1616.8391895270395,0.0
37,1998.850019999548,1651.8572102700714,0.0
171,1963.1498671704683,1713.8480945326205,0.0
76,1935.14969311684,1760.587437682022,0.0
120,1923.2367372888712,1780.0078311987745,0.0
88,1850.0653181051207,1893.7891551774628,0.0
34,1822.9349086425289,1933.790409930538,0.0
117,1815.2573838089895,1944.9135989633553,0.0
169,1805.7415168625694,1958.583830794993,0.0
71,1724.3823430530483,2070.5629397910384,0.0
64,1696.6362858083885,2106.9028016061006,0.0
77,1668.4384926297082,2142.954443062623,0.0
164,1614.0378328068534,2210.1634613238384,0.0
180,1579.441261700815,2251.4053311035304,0.0
55,1572.3556587845965,2259.715588245553,0.0
30,1532.7636025478294,2305.3337330483073,0.0
15,1468.4282591557135,2376.6680909909496,0.0
162,1393.5721249805697,2455.6765015117685,0.0
193,1345.3077225398795,2504.5294309560772,0.0
110,1327.5576414108975,2522.1086746793176,0.0
62,1305.5294396636878,2543.6457285991496,0.0
183,1230.6778764344067,2614.6216922079066,0.0
152,1206.9045958375348,2636.4833207951947,0.0
145,1178.8330799123496,2661.894798754121,0.0
96,1034.2339230639082,2786.3447853004604,0.0
11,966.972400880606,2840.8405926719583,0.0
122,961.1002225213019,2845.5030494723887,0.0
142,823.7625878298957,2950.4555352016414,0.0
135,634.0954729327447,3083.6478285618764,0.0
115,578.9555424870233,3120.0635979877834,0.0
153,574.4521311202399,3122.9947367636432,0.0
140,271.4796038927094,3306.4838361520992,0.0
19,175.68209518765707,3359.3672957159633,0.0
82,-490.49896272898974,3672.019925258225,0.0
47,-493.713058400801,3673.3259974289194,0.0
132,-1089.7449420474045,3888.493381292445,0.0
25,-1310.2370616579544,3956.110351577825,0.0
79,-1602.0530284751237,4037.2120649666726,0.0
157,-1634.4884212140612,4045.6821151602308,0.0
192,-1744.482560804163,4073.644214499424,0.0
41,-1802.0629030986938,4087.826263826816,0.0
2,-1941.347886578447,4120.89232653226,0.0
87,-1947.4778903190793,4122.308415978038,0.0
9,-1949.1813546363367,4122.701358288923,0.0
39,-2188.9364639003466,4175.599158698546,0.0
194,-2401.734236197304,4218.788121846375,0.0
0,-2977.212658805913,4320.173516432885,0.0
151,-2986.384114276808,4321.625905728638,0.0
83,-3145.409005949796,4346.072468341521,0.0
43,-3170.4913991321428,4349.80439820075,0.0
190,-3396.0475711802696,4381.927179295412,0.0
148,-3413.9618767636916,4384.371468660173,0.0
126,-3669.3490158649156,4417.614143271231,0.0
70,-3677.9374745290925,4418.681885769899,0.0
156,-3780.0855113858574,4431.142645757937,0.0
31,-3868.7046128046004,4441.605610003,0.0
90,-3886.1648034052514,4443.630034204334,0.0
66,-4276.372506051388,4485.887875541127,0.0
89,-4301.24677759383,4488.3984536914495,0.0
114,-4314.273936975838,4489.705009200215,0.0
175,-4519.708438414913,4509.57893348831,0.0
44,-5384.727862123302,4580.088605909642,0.0
59,-5441.533526123111,4584.072955325824,0.0
12,-5516.096505349458,4589.19640138461,0.0
102,-5587.00969394137,4593.959759511544,0.0
61,-5727.45150100728,4603.089822130214,0.0
100,-5729.281056623516,4603.206166882107,0.0
129,-6295.999432000208,4636.296089749276,0.0
20,-6615.845906577604,4652.637282683864,0.0
57,-6783.57313390293,4660.613738104581,0.0
10,-7462.143580214935,4689.2460010182795,0.0
119,-7755.253999086914,4700.030175542278,0.0
124,-9048.858604749164,4738.726123130615,0.0
176,-10222.865855962371,4764.4334343855435,0.0
35,-10896.449180641117,4776.267597223978,0.0
189,-12646.840519667194,4799.954432713066,0.0
